Course Information ID,Academic Year,Course Title,Offering ID,Offering Code,Offering Start Date,Offering End Date,Offering Status Code,Offering Status Description,Offering College Level Code,Offering College Level Description,Mode Of Attendance,Cost,Display Cost,Allow Applications,Allow Enquiries,Allow Enrolment,Course Introduction,Qualification Awarding Body,Delivery,Entry Requirements,Location,Progression Opportunities,Qualifications,Career Prospects,Additional Funding Information,Assessments,Course Content,Application And Interview Process,User Defined1,User Defined2,User Defined3,User Defined4,User Defined5,User Defined6,User Defined7,User Defined8,User Defined9,User Defined10,Area Of Interest1,Area Of Interest2,Area Of Interest3,Area Of Interest4,Area Of Interest5,Course Category1,Course Category2,Course Category3,Course Category4,Course Category5,Keywords,Qualification Of Study ID,Qualification Of Study Description,Qualification Of Study Description For Website,SCQF Level Programme Description,SCQF Level Programme ID,Application URL,Enrolment URL,Area Of Interest Taxonomy,Course Category Taxonomy
115,21/22,NPA Sport - Schools Link,27270,NPSPSL05PT1-001,06/09/2021 00:00,31/03/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Part Time,,NO,NO,YES,NO,"You will gain a National Progression Award in Team/Individual Sport, learning through 'Participation & Performance' in a sporting activity, 'Officiating and Organising' a sporting competition, and 'Development of Coaching' skills.",Scottish Qualifications Authority (SQA),"Part time 29 weeks over 1 academic year, 2 days per week in College or equivalent blended delivery.","You will need show an interest in sport, ideally playing/competing in a sport at either club or school level. You should have a passed subjects at SCQF level 4 (ideally in English, Physical Education, and Biology but other subject considered).","Scottish Borders Campus Galashiels, and appropriate local sports facilities",Successful candidates may progress onto Sport & Exercise courses at SCQF level 6,NPA Sport and Fitness: Team Sport G9CJ 45,,,,,,,,,,,,,,,,Sports and Exercise,,,,,,,,,,,35,SQA National Progression Award,National Progression Award (NPA),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Sports and Exercise,Part Time
116,21/22,Racing Yard Routine - NPA SCQF level 5 Schools Link,39744,NPRACY05PT1-001,19/08/2021 00:00,31/03/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Part Time,,NO,YES,YES,NO,Scottish Racing and Borders College are offering a National Progression Award (NPA) in Race yard Routine to Borders school pupils. You will gain knowledge in race horse care and yard duties. You will gain experience of working at a yard with thoroughbred racehorses.,SQA,Part time,NPA Level 4 Horse Care or a proven interest in racing along with a reference from an equine yard. Entry is subject to an interview and passing a riding test.,TBC,On successful completion of this course you may progress to a full time race horse course.,NPA Racing Yard Routine (subject to validation),,,,,,,,,,,,,,,,Horse and Animal Care,,,,,,,,,,,35,SQA National Progression Award,National Progression Award (NPA),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/schools/checkout_directapplySchools.ascx&offeringid=39744,,Horse and Animal Care,Part Time
117,21/22,Sport and Exercise - (SCQF level 6),26711,NQSPOR06FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Full Time,,NO,YES,YES,NO,"This course is designed to provide an introduction to the Sport & Fitness industry. A common course is built around two pathways. A Fitness pathway completing a Level 2 Certificate in Fitness Instructing, which is aligned to the national occupational standards and enables students to access the Register for Exercise Professional and work as a gym instructor. orA Sport pathway completing a a National Progression Award in Team/Individual Sport, learning through 'Participation & Performance' in a sporting activity, 'Officiating and Organising' a sporting competition, and 'Development of Coaching' skills.Other elements of the course are taught alongside the course to develop a wider set of skills, including; communication, entrepreneurial, employability, exercise leadership.",SQA (Scottish Qualifications Authority),"Full-time further education programme, 3 days per week in College or equivalent blended delivery","Applicants must have a proven interest in Sport/Fitness and have passed subjects at SCQF level 5 (ideally in English, Physical Education and Biology but other subjects are acceptable) .","Scottish Borders Campus Galashiels, and appropriate local sports facilities",Candidates completing either Sport or Fitness pathway can progress onto an HND in Coaching and Developing Sport or those on the Fitness pathway can work as a gym instructor,Active iQ Certificate in Fitness Instructing NPA Sport & Fitness: Team Sport G9CJ 45,,,,,,,,,,,,,,,,Sports and Exercise,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=26711,,Sports and Exercise,Full Time
118,21/22,BASE Rugby (SCQF level 6),39774,NQRUGB06FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Full Time,,NO,YES,YES,NO,"Borders Academy of Sporting Excellence (BASE) supports 'talented' performers to develop their individual skills and performance alongside their academic studies. The course has some common element with other level 6 Sport & Fitness courses but is built around a National Progression Award (NPA) in Achieving Excellence in Sport, covering: Analysis of performance; Behaviours of elite Athletes; and Performance improvement programmes. It is a full time course, with 3 days per week in college (for classes and strength & conditioning) and 2 days expert tuition. The expert tuition is normally delivered in conjunction with Scottish Rugby's Academy programme; applicants from other sports are welcomed.",SQA (Scottish Qualifications Authority),"Full-time further education programme, 3 days per week in College.","Applicants must have a proven interest in fitness and two National 5 awards or equivalent, ideally in English and Physical Education. Selection will be subject to satisfactory interview session.",Scottish Borders Campus,You may continue to develop your rugby skills in HND Year 1 Coaching and Developing Sport (at SCQF Level 7),"NPA Exercise & Fitness Leadership & NPA Achieving Excellence in Sport,",,,,,,,,,,,,,,,,Sports and Exercise,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=39774,,Sports and Exercise,Full Time
119,21/22,NPA Spectator Safety (SCQF level 5),40106,PBSPEC04PT1-001,06/09/2021 00:00,17/06/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Part Time,,NO,NO,YES,NO,"Scottish Racing and Borders College are offering an exciting opportunity to learn and gain qualifications related to Stewarding. The course is made up of three units: Roles & Responsibilities of Stewarding; Identifying Hazards in Stewarding Area; and Plan, Complete, & Conclude Stewarding Activities.",Scottish Qualification Authority (SQA),"A blended approach will be taken to delivering the course; combining online, self study, face to face and practical experience to support learning. The course has a nominal length of 100 hours, although there are opportunities for intensive delivery and students to proceed faster through the curriculum.",A proven interest in horse care or horse racing along with suitable qualifications at SCQF level 4/5 or relevant experience. For those with no formal qualifications a letter of reference from a yard may be acceptable subject to an interview.,Based at Scottish Borders Campus with blended learning supporting delivery across the country,Successful completion of the course can lead to employment opportunities Stewarding or further study at SCQF level 5/6 (including other 'Stable Staff' opportunities offered by Scottish Racing and Borders College),NPA Introduction to Spectator Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,PB,Programme not leading to recognised qualification (fully non-assessed courses including most non-vocational programmes),,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,,Part Time
120,21/22,Introduction to Sport & Uniformed Service (SCQF 5),26714,NQUNIF05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Full Time,,NO,NO,YES,NO,"This full time qualification is designed for young people who wish to progress to a career in Sport or the Uniformed Services. Developing physical fitness, teamwork, and self-discipline is essential for careers in both areas (Sport and the Uniformed Services) and is a key part of the course. The course also includes units that develop 'Core Skills', and increases knowledge of Specific Sports, Coaching, Fitness and the demands and opportunities in the Uniformed Services.",Scottish Qualifications Authority,"The delivery model for this course is full-time for one academic year with practical, theoretical, and virtual classes scheduled for an equivalent of three days per week.",Applicants must have a minimum level of literacy and communication skills and should ideally have 3 x qualifications at SCQF level 4. Entry may be subject to a satisfactory interview and/or fitness assessment.,Scottish Borders Campus,"It is expected that most successful candidates will either progress to a sports course or find a career within the Armed Forces or other uniformed service. However, each uniformed services has its own recruitment criteria, over which the college has no influence or control.","Successful completion of this course should result in candidates being awarded:, -National Progression Awards in Sport (SCQF level 5), -A range of units at SCQF level 4 & 5 in Uniformed Service, Core Skills, and Fitness,",,,,,,,,,,,,,,,,Preparation for Entry to the Army,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Preparation for Entry to the Army,Full Time
121,21/22,Horse Care - Equine Management - Level 1 (SCQF level 4),39769,NPHORS04FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Full Time,,NO,YES,YES,NO,"This full-time course will give the learner an introduction to the Care of Horses, Cleaning Stables and Yard, Tacking Up, Untacking and Cleaning Tack, Handling Horses, Core Skills, Health and Safety, Teamwork and a Riding Unit. These topics would be covered under supervision. Core Skills for working in the land-based industry, including Communications and Numeracy, may be a timetabled part of this course.",BHSQ (British Horse Society Qualifications),"Full-time 36 week course, 3 days per week in College (at ISEC)","No formal academic entry qualifications required. Ability to ride a quiet horse at walk, trot and canter, comply with riding school weight regulations and also demonstrate a basic level of knowledge and skill at a practical assessment. Subject to satisfactory interview session,",Scottish Borders Campus and Ian Stark Equestrian Centre (ISEC),Successful students may progress to the SVQ Level 2 Horse Care course,SVQ Level 1 Horse Care at SCQF Level 4,,,,,,,,,,,,,,,,Horse and Animal Care,,,,,,,,,,,35,SQA National Progression Award,National Progression Award (NPA),04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=39769,,Horse and Animal Care,Full Time
122,21/22,Horse Care - Equine Management - Level 2 - (SCQF level 5),26701,NCHORS05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Full Time,,NO,YES,YES,NO,"This full-time course is ideal for those who have completed Level 1 or those with good experience with horses. The course covers the following topics: Stable Routines, Horse Health and Condition, Lungeing, Care of Horses at Grass, Transporting Horses, Riding and Jumping, Health and Safety, and Working with Others. Core Skills for working in the land-based industry, including Communications and Numeracy, may be a timetabled part of this course.",BHSQ (British Horse Society Qualifications),"Full-time 36 week course, 3 days per week in College (at ISEC), 1 or 2 days per week on placement ,",SVQ Level 2 Horse Care or previous experience is essential. Riding ability will be assessed at a practical assessment day and students must comply with riding school weight regulations. Subject to satisfactory interview session.,Scottish Borders Campus and Ian Stark Equestrian Centre (ISEC),"Successful students may progress to the Level 3 Horse Care Management course. Employment as a Groom is an option, or progression to a career in racing.",SVQ Level 2 Horse Care at SCQF Level 5,,,,,,,,,,,,,,,,Horse and Animal Care,,,,,,,,,,,33,National Certificate Award (accredited group award),National Certificate Award (NC),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=26701,,Horse and Animal Care,Full Time
123,21/22,Horse Care - Equine Management - Level 3 - (SCQF level 6),39770,NPHORS06FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,SOA,Sport and Outdoor Activities,Full Time,,NO,YES,YES,NO,"This full-time course is designed to equip students with the skills and competence to assume responsibility for others and manage a small yard. The course covers the following topics: Health Care and Treatment, Planning Diets and Implementing Feeding Regimes, Tacking up for Specialist Work, Clipping and Turnout, Transporting Horses, Working with Others, Health and Safety, and Managing Own Performance. Four optional units must also be completed from one of the following subjects areas: Exercising, Schooling, Trekking or Competition. Core Skills for working in the land-based industry, including Communications and Numeracy, may be a timetabled part of this course. P",BHSQ (British Horse Society Qualifications),"Full-time 36 week course, 3 days per week in College (at ISEC), 1 or 2 days per week on placement ,","SVQ Level 2 Horse Care or previous experience is essential. Riding ability will be assessed at a practical assessment day and students must comply with riding school weight regulations. Subject to satisfactory interview session,",Scottish Borders Campus and Ian Stark Equestrian Centre (ISEC),Successful students may progress directly to an equine degree course. Employment as Head Groom/Stable Manager.,SVQ Level 3 Horse Care Management at SCQF Level 6,,,,,,,,,,,,,,,,Horse and Animal Care,,,,,,,,,,,35,SQA National Progression Award,National Progression Award (NPA),06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=39770,,Horse and Animal Care,Full Time
124,21/22,Computing - HNC,22981,HCCOMP07FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,NO,YES,NO,"The HNC Computing award is designed to offer candidates creative, academic, and technician training leading to the skills necessary to plan, design, develop, and maintain IT systems (such as web apps) in a vast range of industries. You will develop a range of contemporary technical computing skills relating to the use and support of IT systems (web, PC, networking). What you will study: , Developing Software, Developing Small Standalone Applications, Introduction to SQL (database query language), Database Design, Developing E-Commerce Websites, Troubleshooting Software Problems, Team Working (a software project), Computer Systems, Computer Networking, Client Operating Systems, Professionalism and Ethics, Please read the Important Notice at www.borderscollege.ac.uk/uni.",SQA (Scottish Qualifications Authority),"Full-time 36 week course, 2.5 to 3 days per week in College","Two relevant Highers at grade C or above plus Communications at SCQF Level 5 and Mathematics at SCQF Level 5 or equivalent, Or successful completion of a relevant NC programme, including Numeracy at minimum SCQF Level 5 and Communications at SCQF Level 5 or equivalent. Applicants with other formal academic qualifications and/or relevant employment experience will be considered on an individual basis. Exposure to Programming and Database development, Computer Systems, and/or Networking would be advantageous.",Scottish Borders Campus,"HND Computing.The College has articulation arrangements with some Scottish Universities to allow successful students to continue their higher education. However, some students may wish to go directly into employment or start their own business.",HNC COMPUTING at SCQF Level 7,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,DD,Higher National Certificate or equivalent,Higher National Diploma (HNC),07 - Advanced Higher / Scottish Bacc/ HNC/ PDA Level 7/SVQ 3,7,,,Business and Computing,Full Time
125,21/22,Electrical Engineering - HNC,23045,HCELEN07FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,YES,"The course is designed for people interested in an electrical engineering career and contains a range of SQA Higher National Units that will develop understanding in: Electricity Power Systems, Electrical Machine Principles, Power Electronics, Electrical Safety, DC and AC Principles, Application of Electrical and Electronic Instruments, Application of Programmable Logic Controllers and Three Phase Systems. Core Skills include Mathematics: Technician 1, Communications, Digital Electronics and Combinational Logic.",SQA (Scottish Qualifications Authority),"Full-time 36 week course, 2 days per week in College","NC in Electrical Engineering, or 2 Higher qualifications at Grade C or above, one of which must be in Mathematics, Physics or Technical Studies. . An interview session.",Scottish Borders Campus,The course will give students a sound foundation in engineering and could lead to employment in Electrical/Electronic Engineering or Electrical Installation sectors.,HNC in Electrical Engineering at SCQF Level 7,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,DD,Higher National Certificate or equivalent,Higher National Diploma (HNC),07 - Advanced Higher / Scottish Bacc/ HNC/ PDA Level 7/SVQ 3,7,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=23045,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=23045,Engineering and Motor Vehicle,Full Time
126,21/22,HND Computing: Software Development ,38547,HDCOMS08FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,YES,"This new course offers an introduction to software development. It will introduce you to a range of subjects and skills that contribute to the design and development of good quality software.These include developing skills in C#, VB.NET, Java, Object Oriented Design, Object Oriented Programming, SQL Programming and Project Management.",SQA,36 weeks over 3 days attendance,"Year 1Two Highers at Grade C or above in relevant subjects, such as Computing Science, Maths, Physics, or Graphic Communication plus four National 5s at Grade C or above including Core Skills Level 5 Literacy or equivalentYear 2Successful completion of HNC: Computing (with 15 credits). This must be from the new group award: GF3E15",SBC,"Education: third year of degree-level course such as BEng computing, BSc IT management. Employment: IT technician, helpdesk support technician, trainee programmer or apps designer.",HND Computing: Software Development,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),08 - HND/PDA Level 8/SVQ 4,8,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=38547,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=38547,Business and Computing,Full Time
127,21/22,Foundation Apprenticeship: Automotive Skills SCQF Level 4 - Schools Link,11132,FAAUTO04PT1-001,19/08/2021 00:00,01/04/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,NO,"The course covers general workplace skills such as team building, problem solving, health and safety and workspace management as well as skills and knowledge needed in the motor vehicle industry.It will introduce you to the engineering aspects of motor vehicles and give you experience in repairs and maintenance. Subjects include:Health & SafetyGeneral mechanicsElectrical systemsBraking systemsSteering and suspensionWheels and tyres",SQA,2 Afternoon sessions per week for 1 year; Tuesday and Thursday for 28 weeks,Interest in learning about motor vehicle studiesExcellent school attendance record,online/SBC,Full-time automotive engineering programme Level 1,Foundation Apprenticeship: Automotive Skills SCQF Level 4,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Engineering and Motor Vehicle,Part Time
128,21/22,Software Development - Foundation Apprenticeship YR1,11684,FASOFT06PT1-002,19/08/2021 00:00,01/04/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,NO,"In year 1 you will complete the following units at College: . Computing Applications: Development , Computing: Authoring a Website , Software Design and Development.",SQA,Duration - Part Time 72 week courses over 2 x Academic Years. Year 1 will include 2 on campus sessions on a Tuesday and Thursday afternoon.,"School verified prediction that the pupil is on track to achieve at least 4 x National qualifications to include a computing science qualification and you will need a keen interest in software development. Successful performance at interview (verbal and Written), Positive behaviour and attendance report from school, As well as this, students must have a willingness to learn, this is a demanding course and requires a can-do attitude.",Scottish Borders College Galashiels Campus,"Modern Apprenticeship in IT and Telecoms , Graduate Apprenticeship in IT: Software Development, Employment in the ICT and digital technologies industry , Further Education , University",Software Development Foundation Apprenticeship,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),06 - Higher/ PDA Level 6/ SVQ 3,6,,,Business and Computing,Part Time
129,21/22,Foundation Apprenticeship in Software Development - Fast-track ,11134,FASOFT06PT2-003,01/06/2021 00:00,01/04/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,NO,"The Foundation Apprenticeship Software Development Fast Track is for pupils in S5 and S6. You will complete a National Progression Award (NPA) at SCQF level 6 in Software Development. You will also complete an extended work placement during which you will work towards the Diploma for IT & Telecommunications Professionals.The NPA will include units in:Software Design and DevelopmentComputing: Applications DevelopmentComputing: Authoring a WebsiteYou will also undertake workbased learning during which you will attend an extended work experience with an industry partner equivalent to a day a week. During that time, you will develop essential skills for the workplace and be assessed on your performance in each of the following areas:Health and Safety in IT & TelecomInvestigating and Defining Customer Requirements for IT & Telecoms SystemsPupils completing this Foundation Apprenticeship Fast Track programme will be expected to undertake both coursework and work based learning elements within the same year. Pupils will also be expected to work on course assignments out with normal course times. Generally spending equivalent of a day and a half a week in college, and a day a week on placement. We recommend that applicants for the one-year delivery model only study 3 additional school based courses alongside the Foundation Apprenticeship.",SQA,"Tuesday, Thursday and Friday",Achieved National 5sInterested in learning about the industryCapable of working at level 6 (Higher) over S5 and S6,Online/SBC,"Education: Modern Apprenticeship, HNC in Software Development or related field, university course in various computing subjects.Employment: roles such as IT software developer (including apps and games), web developer, database administrator, cyber security.",Foundation Apprenticeship in Software Development,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),06 - Higher/ PDA Level 6/ SVQ 3,6,,,Business and Computing,Part Time
130,21/22,Vehicle Maintenance and Repair - Level 1,30699,VQVEMA04FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,NO,"Motor vehicle pre-apprenticeship course, giving a broad, practical introduction to all the main motor vehicle systems, including: Engines, Transmission, Brakes, Wheels, Tyres, Steering, Suspension, Fuel Ignition, Electrical and Electronic Control. The course also includes Enterprise Studies, Work Experience and the following core skills: Communication, Engineering Numeracy, Information Technology.",City & Guilds,"Full-time 36 week course, 3 days per week in College , 1 or 2 days per week on placement ,",Subject to a satisfactory interview session.,Scottish Borders Campus,"Students can progress to a City & Guilds Level 2 Diploma in Vehicle Maintenance and Repair. This course can also be generally considered as a pre apprenticeship, with good opportunities to impress a potential employer, allowing the participant to return to College through employment to gain an SVQ.",Level 1 Diploma in Vehicle Maintenance at SCQF Level 4,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,31,Scottish Vocational Qualification or National Vocational Qualification,Vocational Qualification (SVQ/NVQ),04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=30699,,Engineering and Motor Vehicle,Full Time
131,21/22,Vehicle Maintenance and Repair - Level 2,30701,VQVEMA05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,NO,YES,YES,"Motor vehicle pre-apprenticeship course, giving a more advanced practical and theory introduction to all the main motor vehicle systems, including: Engines, Transmission, Brakes, Wheels, Tyres, Steering, Suspension, Fuel Ignition, Electrical and Electronic Control. The course also includes Enterprise Studies, Work Experience and the following core skills: Communication, Engineering Numeracy, Information Technology.",City & Guilds,"Full-time 36 week course, 3 days per week in College , 1 or 2 days per week on placement ,",Successful completion of Vehicle Maintenance City & Guilds Certificate Level 1 and Core Skills at SCQF Level 4.,Scottish Borders Campus,"This course is generally considered as a pre-apprenticeship, with good opportunities to impress a potential employer, allowing the participant to return to College through employment to gain an SVQ.",Level 2 Diploma in Vehicle Maintenance and Repair at SCQF Level 5,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,31,Scottish Vocational Qualification or National Vocational Qualification,Vocational Qualification (SVQ/NVQ),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=30701,Engineering and Motor Vehicle,Full Time
132,21/22,IMI LEVEL 1 CERTIFICATE IN TRANSPORT MAINTENANCE (LIGHT VEHICLE) SCQF Level 4,188537,VQMOTO04FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,YES,This qualification allows you to develop your knowledge and skills across a variety of specialist areas to prepare you for further studies or to enter a job in the automotive industry.You will Learn:Health and Safety Vehicle Technology Driveline MaintenanceInspection & Repair of Tyres Steering Systems Suspension Systems Routine Maintenance Communication Numeracy IT,SQA,3 days a week campus/online,"Subject to a satisfactory interview session.If you are currently studying at the college, you will also require to successfully pass your course.",SBC,Progression to Level 2 in Light Vehicle Maintenance & Repair,IMI LEVEL 1 CERTIFICATE IN TRANSPORT MAINTENANCE (LIGHT VEHICLE),,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,31,Scottish Vocational Qualification or National Vocational Qualification,Vocational Qualification (SVQ/NVQ),04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=188537,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/Full/checkout_directenrolFull.ascx&offeringid=188537,Engineering and Motor Vehicle,Full Time
133,21/22,Computing - NC,26548,NCCOMP05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,YES,"Today's world revolves around the use of digital technologies and requires people with a mix of computing, technical, creative, and people skills. This course covers a wide range of topics, including hardware and networking, data, digital media and social media, coding with HTML, CSS and JS (JavaScript) to enable software applications, websites and games design and development. What you will study:, Web Development, Games Design , Creating Games Assets (sprites, sounds, etc.), Games Development, Team Working (a software project), Information Literacy, Networking Literacy, Social Media Literacy, Developing Small Standalone Applications, Introduction to SQL (database query language), Database Design, Developing E-Commerce Websites, Troubleshooting Software Problems, Computer Systems, Computer Networking, Client Operating Systems, Professionalism and Ethics.",SQA (Scottish Qualifications Authority),"Full-time 36 week course, Up to 3 days per week in College","4 National 4 awards (plus added value unit) or 4 relevant Standard Grades at grade 4 or above or equivalent, or successful completion of the Introduction to Business, Administration and Information Technology programme, including Numeracy and Communications at a minimum level 4.Previous experience with Programming, Computer Systems, and/or Networking is not essential, but would be advantageous.",Scottish Borders Campus,Successful students may progress to HNC Computing upon successful completion of this programme.,"NC in Computing at SCQF Level 5 including:, NPA Web Design Fundamentals at SCQF Level 5, NPA Games Technology at SCQF Level 5 ,",,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,33,National Certificate Award (accredited group award),National Certificate Award (NC),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=26548,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=26548,Business and Computing,Full Time
134,21/22,NPA Cyber Security SCQF Level 5,27255,NPCYBE05PT1-001,19/08/2021 00:00,01/04/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,NO,"This course will give you an introduction to this subject area and the basic skills necessary to progress onto further study in Computing, IT or another subject. Understanding techniques of Data Security, Digital forensics and Ethical Hacking is important in ensuring that learners are aware of their responsibilities within the virtual community.",SQA,Two afternoons per week for 34 weeks,"Three National 4s (preferably including one of Maths, Computer Science or Physics)",SBC,Completion of the course may lead to progression to:NC Computing with Digital Media/Cyber Security Level 6,NPA Cyber Security SCQF Level 5,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,35,SQA National Progression Award,National Progression Award (NPA),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Business and Computing,Part Time
